id,phrase,source,ragil,is_verified,visibility_tier,category,vip_source,has_notes,in_post_links,corpus_role,rule_applied,confidence,cluster_id
c19e87a5-f3da-4584-b89f-4d07becb4b47,בצר להם,auto:תיעוד אירועים wp20502,367,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp20502,high,
7c6f34bc-be81-4e95-bcaf-827a2694f114,המשנה למלך,auto:תיעוד אירועים wp21354,520,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp21354,high,
333dd4a3-464d-42f3-bd48-bf4f9ad60be4,יריב לוין,auto:תיעוד אירועים wp21354,318,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp21354,high,
e7333bde-e06a-425a-abe4-fae4647cb4ed,מם שין יוד חית,auto:תיעוד אירועים wp21354,878,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp21354,high,
7b78b914-36da-4161-86b8-ff8e50879357,ראש הממשלה בנימין נתניהו,auto:תיעוד אירועים wp21354,1604,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp21354,high,
72d03ed4-3062-4e48-b352-ae5363fbfb1c,כח קפלן,auto:תיעוד אירועים wp21354,288,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp21354,high,
92f161ce-dab7-4736-940a-078a144f3ec1,אור פניך,auto:תיעוד אירועים wp21354,367,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp21354,high,
5e3402c6-b2ce-46f4-a488-4bebfc86252d,משיח הויה,auto:תיעוד אירועים wp21847,384,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp21847,high,
578872ef-a184-4b5f-a16d-6f2e6d0aa0ac,ביידן ארבעים ושש,auto:תיעוד אירועים wp22588,1005,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp22588,high,
9c92c019-6e59-4328-80ce-50767f0ff700,צריך שלום בעולם,auto:תיעוד אירועים wp23309,844,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp23309,high,
eadfd82b-73d2-4189-9550-3efdda54dcc3,מיכאל בן דוד,auto:תיעוד אירועים wp26480,167,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp26480,high,
1beb040b-fcb4-4d7e-bcfd-9ebd804813b0,טילים גרעיניים,auto:תיעוד אירועים wp26905,492,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp26905,high,
9ef9fecf-877b-4fcc-b464-5190822ed9eb,קץ אירופה,auto:תיעוד אירועים wp26905,492,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp26905,high,
d73c824e-cca2-45b7-9eae-98df38c6f594,נגיף חדש בתשפ,auto:תיעוד אירועים wp20569,1237,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp20569,high,
a4348057-e1a3-48bc-b321-a4ba95b814ab,בכיה לדורות,auto:תיעוד אירועים wp27374,683,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp27374,high,
2de0d800-1426-4d7b-806c-6483f742ac64,שבעים חמש,auto:תיעוד אירועים wp27754,770,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp27754,high,
ee6c125a-f19a-4512-be67-dccad8e8663b,סדם רעים,auto:תיעוד אירועים wp27754,424,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp27754,high,
aa8e3de4-c23c-4d78-acac-31770986a049,דני אבדיה,auto:תיעוד אירועים wp28180,86,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp28180,high,
c304a226-484c-4e43-a38a-35fe1c20cb58,הרמז סוד,auto:תיעוד אירועים wp28180,322,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp28180,high,
05f8ea43-16f3-424d-b62f-544680df3d84,הברור האחרון,auto:תיעוד אירועים wp28180,683,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp28180,high,
d7b7cb4f-eac4-4466-a7d4-83578158403a,רומן זדורוב,auto:תיעוד אירועים wp28180,521,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp28180,high,
0555e472-69bc-4612-8bed-1e1b8b801ca7,יום הולדתו של ראש הממשלה,auto:תיעוד אירועים wp28180,1758,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp28180,high,
25c969da-b3c2-4fad-8b9f-ebe770d83431,ישאר בשלטון עד ביאת המשיח,auto:תיעוד אירועים wp28180,1758,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp28180,high,
2e133608-7280-4f0d-a6b1-7497df2c6c01,ארגנטינה תשפג,auto:תיעוד אירועים wp28247,1111,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp28247,high,
1e60f45a-6f72-4f9c-9f98-12ccd70071d1,חג חנוכה התשפג,auto:תיעוד אירועים wp28247,888,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp28247,high,
051ce11b-34b6-4696-8c29-8db63acd96dd,מלך המשיח תשפד,auto:תיעוד אירועים wp29114,1237,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp29114,high,
2d0b4d0d-6e81-4932-a444-55258db69600,לעשות נחת רוח ליוצרו,auto:תיעוד אירועים wp28247,1820,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp28247,high,
70d0ef77-e2a1-4ae9-a333-2955391a2b15,חטא מכירת יוסף,auto:תיעוד אירועים wp28315,844,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp28315,high,
