id,phrase,source,ragil,is_verified,visibility_tier,category,vip_source,has_notes,corpus_role,rule_applied,confidence,cluster_id
"016e8e4d-6b0f-4b51-9638-528ef5fcba8e","חיבוק","promoted:raw_docx_v2",126,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"0179974d-e5ee-470c-9a32-31e86f8132e6","זיגזג","promoted:raw_docx_v2",30,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"017a79b2-196b-4a66-8099-449d057021e8","אלף עד תיו במילוי","promoted:raw_docx_v2",699,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_multiword_dictionary_phrase","high",""
"018297b1-6e0f-44a0-95a4-c324d1b008fa","טשאלנט","promoted:raw_docx_v2",399,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"018e68a4-cfb2-4234-a003-355547b239a3","שנים עשר חדש","promoted:raw_docx_v2",1282,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_multiword_dictionary_phrase","high",""
"01943ccd-c49b-436a-8030-ea24e9c38f47","תבונה","promoted:raw_docx_v2",463,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"019b55d8-f3b2-42d3-8175-a65cceecd475","שעון שבת","promoted:raw_docx_v2",1128,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"01a38150-8f09-4f27-a32d-7583cfbef374","תולעת שני","promoted:raw_docx_v2",1266,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"01a7e61b-bb0f-49ae-bdef-5a25428fadc4","תקון העולם","promoted:raw_docx_v2",707,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"01aebbce-4048-4697-9c54-f600fa687840","כתובת בנין דכרין","promoted:raw_docx_v2",1224,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_multiword_dictionary_phrase","high",""
"01b62f83-aa95-4096-b485-7769659530f4","אף על פי","promoted:raw_docx_v2",271,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_multiword_dictionary_phrase","high",""
"01bb45ab-0feb-479e-98ee-6ae07519c89c","סופות","promoted:raw_docx_v2",552,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"01bc3f06-8e5b-49fb-88d2-81f638952a3c","מנוחה","promoted:raw_docx_v2",109,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"01c45e30-c514-42de-8cc2-b8a7470800ff","גורעין ומוסיפין ודורשין","promoted:raw_docx_v2",1177,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_multiword_dictionary_phrase","high",""
"01ca143e-c9dc-4985-b313-1c0524d6dc40","סרפד","promoted:raw_docx_v2",344,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"01d5a5fd-0696-4799-8aee-59c9800b5022","רחם אשה","promoted:raw_docx_v2",554,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"01dcdb0f-8449-4da4-bebb-7dd5faba18ab","חלמון","promoted:raw_docx_v2",134,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"01ecbde1-770c-4a56-8330-4bd3eaace0de","שמעון בר יוחאי","promoted:raw_docx_v2",703,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_multiword_dictionary_phrase","high",""
"0203d808-8c2c-43a5-9a16-ead0529d0b4b","זמן תפילה","promoted:raw_docx_v2",622,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"02048c48-6f9c-4bec-b2f4-a35f490f836e","ערוב חצרות","promoted:raw_docx_v2",982,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"0205a795-9e89-4cf6-beaa-604248dc251f","משה דוד","promoted:raw_docx_v2",359,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"0209bcb7-17c9-4d43-9325-ee7b4b6bd597","כי לעולם חסדו","promoted:raw_docx_v2",284,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_multiword_dictionary_phrase","high",""
"02143d96-64bd-4b6d-a3d7-10fb186a362f","חם מקצת חם כולו","promoted:raw_docx_v2",788,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_multiword_dictionary_phrase","high",""
"0216b337-282d-4384-a161-ad8b8ec07558","זכה","promoted:raw_docx_v2",32,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"021e2525-1012-4b0d-9f81-c97a47a35902","מחט","promoted:raw_docx_v2",57,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"0233493a-3aab-4edd-9e60-f0201ee47e40","מאכל בן דרוסאי","promoted:raw_docx_v2",424,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_multiword_dictionary_phrase","high",""
"0241181a-8fdf-4605-9d52-c96e4747eff0","אבל משה","promoted:raw_docx_v2",378,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"02437099-9a66-406a-82ee-430319674d91","יסוד שביסוד","promoted:raw_docx_v2",462,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"0244a595-a619-461f-8112-f216479580ff","צרור","promoted:raw_docx_v2",496,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"0274726c-1629-4d82-951a-4d70d8ea35c7","לאה דיצירה","promoted:raw_docx_v2",355,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"0275ed5d-7dae-4c18-a44a-3b961bf37cd7","בם","promoted:raw_docx_v2",42,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"027e2d65-e22c-44b3-9901-80b882a855d0","תנאים","promoted:raw_docx_v2",501,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"028e0489-0de0-486b-8509-1622515988ed","כבש המזבח","promoted:raw_docx_v2",384,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"02936646-d7fe-44fe-9f78-a7482faa47ab","אנן סהדי","promoted:raw_docx_v2",180,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"029b80af-e6fa-47fe-91bb-55d32dd00b54","ראש ישיבה","promoted:raw_docx_v2",828,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"029c00e5-a92b-485d-9155-6edaacb24be1","בננה","promoted:raw_docx_v2",107,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"02a895b5-2c9e-40fd-ab06-9b447d117c5b","קנין דברים","promoted:raw_docx_v2",466,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"02ddd0f9-faab-41a5-a68b-51bbe624509f","קרן לדוד","promoted:raw_docx_v2",394,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"02e6cb6e-07f0-4326-a6f3-c2d5a45af98c","מיוחד","promoted:raw_docx_v2",68,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"02ed3e96-23e6-4547-b451-91aabcb2d0af","ערום","promoted:raw_docx_v2",316,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"02f82c06-4a1f-438c-b2ff-de2e42b20442","מצפה","promoted:raw_docx_v2",215,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"02fa657b-0134-4296-875d-dab5323792c1","כבוד רבו","promoted:raw_docx_v2",240,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"03053542-cb0c-4427-93cc-ab570a5ab2d0","כפיר","promoted:raw_docx_v2",310,true,3,"מאגר_ערכים","",false,"thematic_corpus","tagged_thematic_animal_world","high",""
"030db23b-53a0-48c2-b938-202dd9f54d30","שמחת יום טוב","promoted:raw_docx_v2",821,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_multiword_dictionary_phrase","high",""
"030ed4b1-94d4-4654-8813-603e5419c345","מלאכת שבת","promoted:raw_docx_v2",1193,true,3,"מאגר_ערכים","",false,"research_vocabulary","short_dictionary_entry","high",""
"03288505-b54e-4f9f-81b3-40bc7c4aca53","אלף עד תיו במילוי גדול","promoted:raw_docx_v2",742,true,3,"מאגר_ערכים","",false,"thematic_corpus","long_verse_maxim_or_list","medium",""
