id,phrase,source,ragil,is_verified,visibility_tier,dna_status,category,vip_source,has_notes,corpus_role,rule_applied,confidence,cluster_id
"ea173ff6-8b77-48b7-9a87-be3a4ccee50d","הבית האחרון יורד מהשמימ בעתה 1819","excel_import","1818","false","3","appendix","כללי","","true","archival_raw","raw_unparsed_formula_dump","medium",""
"ea29904a-e8e8-4ed4-a8ec-f35dd988f43f","גאולת אמת מילוי 1313 ו 3333","excel_import","881","false","3","appendix","כללי","","true","archival_raw","raw_unparsed_formula_dump","medium",""
"ea2e6e8a-80d8-48f3-bc6e-5ba5c4ad06a2","סימן משיח צלקת בלחי ימין","excel_import","1298","false","3","appendix","משיח","","true","thematic_corpus","thematic_category_unverified","medium",""
"ea31cb03-9406-4a25-9c4f-c10d29847eff","המשיח חולה נפש במילוי 1978","excel_import","1978","false","3","appendix","משיח","","true","archival_raw","raw_unparsed_formula_dump","medium",""
"ea4f1213-0e8d-4c9d-933e-78eb26964835","דוד יקבל דרגת יחידה 11111 בעשירי בטבת","excel_import","3850","false","3","appendix","כללי","","true","personal_or_restricted","messianic_self_identification_cluster","medium","excel_messianic_self_id_1335_11111_2212"
"ea7d382d-866d-4eb3-af74-e78389783cba","מלכות נצח בזמן הזה","excel_import","760","true","3","appendix","כללי","","true","research_package","verified_multi_method_documented","medium",""
"ea8e7af4-69f4-4330-acbd-eadb90c3ee23","מלכות דויד תתחיל ב2016 -פניפ מילה -12000-לפני =פי 5","excel_import","6440","false","3","appendix","כללי","","true","research_vocabulary","unverified_general_candidate","low",""
"ea98402a-438a-4f70-be7f-51a728ee0cd8","היום בו יומלך משיח","excel_import","533","true","3","appendix","משיח","","false","thematic_corpus","thematic_category_verified","high",""
"eaa1c5cc-1665-4ba9-9c99-3718d048795b","בהיסח הדעת בימינו","excel_import","682","true","3","appendix","כללי","","true","research_package","verified_multi_method_documented","medium",""
"eaa51345-7ba5-4862-8ba2-b613684c5b70","ביאתי כגואל האחרון","excel_import","753","true","3","appendix","גאולה","","true","thematic_corpus","thematic_category_verified","high",""
"eab288b0-7e56-4f2c-b26a-f8891e0447f9","מנחת יהודה וירושלים","excel_import","1130","true","3","appendix","כללי","","true","research_package","verified_multi_method_documented","medium",""
